job_id,title,seniority,company,industry,location,posted_date,listing_age_days,salary_missing,repost_count,role_recycling_score,hiring_velocity,open_close_ratio,listing_longevity_ratio,closure_ratio,engagement_latency,status,is_ghost,source,listing_age_days,listing_longevity_ratio,salary_missing,repost_count,role_recycling_score,hiring_velocity,open_close_ratio
237E4AE8,Marketing Manager,Intern,Pulse Technologies,Media,"Austin, TX",10-02-2026,40,0,3,0.427854432,0.5,0.4615,1.3333,1.0,10,closed,0,synthetic,40,1.3333,0,3,0.427854432,0.5,0.4615
4C8A5726,Technical Lead,Junior,Helix Networks,Consulting,"New York, NY",15-02-2026,13,0,0,0.1515,0.58,1.0,0.4333,1.0,4,open,0,synthetic,13,0.4333,0,0,0.1515,0.58,1.0
68C7A291,Backend Developer,Director,Neon Digital,Consulting,Remote,25-01-2026,51,0,3,0.332055367,1.67,1.1765,1.7,0.85,6,closed,0,synthetic,51,1.7,0,3,0.332055367,1.67,1.1765
2451221D,Software Engineer,Mid-level,Cascade Innovations,Technology,"Toronto, CA",17-02-2026,11,0,1,0.0867,0.92,1.2222,0.3667,0.8182,8,open,0,synthetic,11,0.3667,0,1,0.0867,0.92,1.2222
F8101539,Financial Analyst,Senior,Vortex Systems,Retail,"Boston, MA",25-02-2026,3,0,0,0.2904,1.17,0.5833,0.1,1.0,4,open,0,synthetic,3,0.1,0,0,0.2904,1.17,0.5833
6B1FEB83,Data Scientist,Intern,Monolith Studio,Retail,"Phoenix, AZ",24-08-2025,188,0,4,0.8115,1.92,11.5,6.2667,0.087,15,open,1,synthetic,188,6.2667,0,4,0.8115,1.92,11.5
BC60339C,HR Generalist,Principal,Horizon Collective,Logistics,"Austin, TX",18-02-2026,10,0,0,0.2781,1.42,1.4167,0.3333,0.7059,2,open,0,synthetic,10,0.3333,0,0,0.2781,1.42,1.4167
D460D5D8,ML Engineer,Lead,Prism Networks,Education,"Chicago, IL",01-02-2026,27,0,0,0.0417,1.5,3.6,0.9,0.2778,1,open,0,synthetic,27,0.9,0,0,0.0417,1.5,3.6
A7CB9D88,QA Engineer,Mid-level,Neon Digital,Consulting,"Seattle, WA",27-09-2025,154,0,6,0.7805,4.92,112.0,5.1333,0.0,44,closed,1,synthetic,154,5.1333,0,6,0.7805,4.92,112.0
3461291,Scrum Master,Lead,Vertex Partners,Logistics,"London, UK",25-02-2026,3,0,1,0.0615,0.83,0.5882,0.1,1.0,9,closed,0,synthetic,3,0.1,0,1,0.0615,0.83,0.5882
F8F09E7C,Sales Executive,Lead,Helix Works,Consulting,"Austin, TX",21-10-2025,130,0,8,0.6923,2.33,56.0,4.3333,0.0,19,open,1,synthetic,130,4.3333,0,8,0.6923,2.33,56.0
325F4E43,Cloud Architect,Principal,Neon Dynamics,Technology,"Los Angeles, CA",15-04-2025,319,1,9,0.9563,4.0,12.0,10.6333,0.0833,22,open,1,synthetic,319,10.6333,1,9,0.9563,4.0,12.0
63B3DB59,QA Engineer,Principal,Arch Group,Manufacturing,"San Francisco, CA",21-07-2025,222,1,9,0.7439,3.58,14.3333,7.4,0.0698,24,open,1,synthetic,222,7.4,1,9,0.7439,3.58,14.3333
434F8ABD,Frontend Developer,Director,Quantum Solutions,Finance,"London, UK",25-09-2025,156,0,12,0.7369,1.83,11.0,5.2,0.222758653,34,open,1,synthetic,156,5.2,0,12,0.7369,1.83,11.0
D54C7148,Platform Engineer,Senior,Helix Global,Finance,"Berlin, DE",05-10-2025,146,1,4,0.7123,1.25,7.5,4.8667,0.1333,12,open,1,synthetic,146,4.8667,1,4,0.7123,1.25,7.5
7052C622,HR Generalist,Principal,Monolith Solutions,Consulting,"Toronto, CA",23-11-2025,97,1,8,0.7166,1.42,5.6667,3.2333,0.1765,45,open,1,synthetic,97,3.2333,1,8,0.7166,1.42,5.6667
F80EABB1,Product Manager,Senior,Prism Dynamics,Technology,"Seattle, WA",27-02-2026,1,1,0,0.0559,1.58,1.2667,0.0333,0.7895,6,closed,0,synthetic,1,0.0333,1,0,0.0559,1.58,1.2667
80F398AF,Financial Analyst,Principal,Forge Partners,Manufacturing,"Boston, MA",31-01-2026,28,0,0,0.2953,1.33,0.8889,0.9333,1.0,4,closed,0,synthetic,28,0.9333,0,0,0.2953,1.33,0.8889
5.03E+06,QA Engineer,Senior,Pinnacle Technologies,Retail,"Dallas, TX",08-09-2025,173,1,6,0.9535,2.33,56.0,5.7667,0.0,41,open,1,synthetic,173,5.7667,1,6,0.9535,2.33,56.0
D9AEBEB3,Sales Executive,Director,Neon Ventures,Retail,"Boston, MA",30-01-2026,29,0,1,0.3153,0.58,0.5,0.9667,1.0,3,open,0,synthetic,29,0.9667,0,1,0.3153,0.58,0.5
6E7B4946,Frontend Developer,Senior,Helix Labs,Media,"Atlanta, GA",12-02-2026,16,1,1,0.3077,1.5,1.125,0.5333,0.8889,3,closed,0,synthetic,16,0.5333,1,1,0.3077,1.5,1.125
